"URI","Title","RecordId","Coin Type URI","From Date","To Date","Authority","Stated Authority","Issuer","State","Dynasty","Deity","Portrait","Denomination","Department","Object Type","Artist","Engraver","Maker","Signature","Manufacture","Material","Shape","Place of Production","Place of Issue","Place of Cataloging Relevance","Region","Coin Type","Hoard","Findspot","Excavation","Reference","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Obverse Legend","Obverse Type","Reverse Legend","Reverse Type","Date on Object","Hijra","Axis","Diameter (in mm)","Weight (in g)","Thumbnail_obv","Thumbnail_rev","Date Record Modified"
"http://numismatics.org/collection/1990.74.123","Copper Alloy 5 kopek of Catherine II, 1784. 1990.74.123","1990.74.123","","1762","1796","","","","","","","","","Modern","Coin","","","","","","Copper Alloy","","","","","","","","","","KM.Russia.59.3","L1|Empire/d62d331b-f945-35f2-9dd1-02007fdc8d44","","","","","","","PIATA KOPEK","double headed eagle with sword in right and sceptre in left","IE 1784","wreath, crown, script letters","","","","42.0","57.596","","","2025-04-12T12:29:00Z"
"http://numismatics.org/collection/1990.74.124","Copper Alloy 2 kopek of Nicholas II, Saint Petersburg, 1897. 1990.74.124","1990.74.124","","1894","1917","","","","","","","","","Modern","Coin","","","","","","Copper Alloy","","","","","","","","","","KM.Russia.10.2","","","","","","","","MADNAR ROSSISKAIA MONETA DVA KOPIKI","double headed eagle","1897 GODA 2 KOPIKI","wreath","","","","24.0","6.29","","","2025-04-12T12:29:01Z"
"http://numismatics.org/collection/1990.74.125","Copper 1/2 kopek of Peter I, 1704. 1990.74.125","1990.74.125","","1689","1725","","","","","","","","","Modern","Coin","","","","","","Copper","","","","","","","","","","KM.Russia.115","L1|Empire/d62d331b-f945-35f2-9dd1-02007fdc8d44","","","","","","","","eagle","DENGA","","","","","22.0","3.953","https://numismatics.org/collectionimages/19501999/1990/1990.74.125.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1990/1990.74.125.rev.width175.jpg","2025-04-12T12:29:02Z"
"http://numismatics.org/collection/1990.74.126","Cupronickel 10 para of Peter I, Providence, 1917. 1990.74.126","1990.74.126","","1903","1918","","","","","","","","","Modern","Coin","","","","","","Cupronickel","","","","","","","","","","KM.19","","","","","","","","","double-headed eagle","KRALEVINA SRBIJA 1917 10 PARA","the numeral ten","","","","20.0","3.909","","","2025-04-12T12:29:03Z"
"http://numismatics.org/collection/1990.74.67","Silver 2 mark of Otto, Munich, 1903. 1990.74.67","1990.74.67","","1864","1886","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Jaeger.45","L1|Bavaria/d9a04054-63ea-3502-b368-8ca17a209c9e||d9a04054-63ea-3502-b368-8ca17a209c9e|Wittelsbach/349fbafb-f733-3bb5-a8a1-338a6bbc20fb","","","","","","","OTTO KOENIG VON BAYERN","Head left","DEUTSCHES REICH","Crowned eagle with arms on breast","","","12","28.0","11.05","","","2025-04-12T12:30:11Z"
"http://numismatics.org/collection/1990.74.72","Copper kreuzer of Andreas Hofer, Hall, 1809. 1990.74.72","1990.74.72","","1792","1835","","","","","","","","","Modern","Coin","","","","","","Copper","","","","","","","","","","KM.Austria.Tyrol.148","","","","","","","","GEFURSTETE GRAFSCHAFT TIROL","one headed eagle","EIN KREUZER 1809","wreath","","","","23.0","4.369","","","2025-04-12T12:30:15Z"
"http://numismatics.org/collection/1991.119.22","Paper 1000 kronur of Jon Sigurdsson, Iceland republic, 29 March 1961. 1991.119.22","1991.119.22","","1961","1980","","","","","","","","","Modern","Paper Money","","","","","","Paper","","","","","","","","","","Pick.46","L1|Iceland/2e10895e-ee07-3f45-81aa-aeef22882033||2e10895e-ee07-3f45-81aa-aeef22882033|Independent/bdb4c549-6785-30d1-9e9d-64460505c695","","","","","","","SEDLABANKI ISLANDS EITT THUSUND KRONUR SAMKVAEMT LOGUM NR. 10, 29. MARZ 1961","full-face bust of Jon Sigurdsson; view of the house of the Althing","THINGVELLIR","view of parliament plains (Thingvellir), seal of the Sedlabanki Islands in Vignette, which is arms of Iceland with traditional supporters (eagle, dragon, bull, giant)","","","","150.0","","","","2025-04-12T12:31:02Z"
"http://numismatics.org/collection/1991.82.1","Cupronickel mark, Karlsruhe, 1983. 1991.82.1","1991.82.1","","1983","1983","","","","","","","","","Modern","Coin","","","","","","Cupronickel","","","","","","","","","","KM.110","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Federal Republic/71c20b49-8a26-35f2-aa78-49fd9bd5851d","","","","","","","BUNDESREPUBLIK DEUTSCHLAND","eagle","1 DEUTSCHE MARK 1986","numeral 1 and oak leaves","","","12","24.0","5.513","","","2025-04-12T12:36:55Z"
"http://numismatics.org/collection/1991.82.2","Cupronickel mark, Stuttgart, 1988. 1991.82.2","1991.82.2","","1988","1988","","","","","","","","","Modern","Coin","","","","","","Cupronickel","","","","","","","","","","KM.110","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Federal Republic/71c20b49-8a26-35f2-aa78-49fd9bd5851d","","","","","","","BUNDESREPUBLIK DEUTSCHLAND","eagle","1 DEUTSCHE MARK date","numeral 1 and oak leaves","","","12","24.0","5.483","","","2025-04-12T12:37:10Z"
"http://numismatics.org/collection/1991.82.3","Cupronickel mark, Stuttgart, 1989. 1991.82.3","1991.82.3","","1989","1989","","","","","","","","","Modern","Coin","","","","","","Cupronickel","","","","","","","","","","KM.110","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Federal Republic/71c20b49-8a26-35f2-aa78-49fd9bd5851d","","","","","","","BUNDESREPUBLIK DEUTSCHLAND","eagle","1 DEUTSCHE MARK date","numeral 1 and oak leaves","","","12","24.0","5.499","","","2025-04-12T12:37:15Z"
"http://numismatics.org/collection/1991.82.9","Cupronickel 2 mark of Adenauer, Konrad, Hamburg, 1974. 1991.82.9","1991.82.9","","1974","1974","","","","","","","","","Modern","Coin","","","","","","Cupronickel||Nickel","","","","","","","","","","KM.124","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Federal Republic/71c20b49-8a26-35f2-aa78-49fd9bd5851d","","","","","","","BUNDESREPUBLIK DEUTSCHLAND 1949-1969","head of Dr. Konard Adenauer in profile, facing left","BUNDESREPUBLIK DEUTSCHLAND 2 DEUTSCHE MARK 1974","eagle","","","12","27.0","6.972","","","2025-04-12T12:37:22Z"
"http://numismatics.org/collection/1991.9.10","Silver gulden of Francis Joseph, Vienna, 1861. 1991.9.10","1991.9.10","","1848","1916","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Jaeckel.328||KM.2219","L1|Austria/3877b8aa-053f-33e8-8292-cd8751a4c525||3877b8aa-053f-33e8-8292-cd8751a4c525|Empire/569ce2de-f062-3541-87c3-d3ea41cf8fff||569ce2de-f062-3541-87c3-d3ea41cf8fff|Habsburg/94f26f7c-fc7e-3e2f-9d17-d060f857d0a4","","","","","","","FRANC.IOS.I.D.G.AVSTRIAE.IMPERATOR","bust of Francis Joseph facing right","HVNG.BOH.LOMB.ET.VEN.GL.LOD.ILL.REX.A.A.1861.1 FL","crowned double-headed eagle","","","12","30.0","12.373","","","2025-04-12T12:39:03Z"
"http://numismatics.org/collection/1991.9.101","Silver 2 reichsmark of Luther, Martin, Stuttgart, 1933. 1991.9.101","1991.9.101","","1933","1945","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","AKS.92||J.352||KM.79||N.334||Yeo.78","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Third Reich/c4b25d1e-0af7-3b8d-ae45-4ce8a4438886","","","","","","","Martin Luther 1483-1933","bust of Martin Luther facing left","Deutsches Reich 2 Reichsmark","eagle displayed","","","","25.0","8.005","","","2025-04-12T12:39:05Z"
"http://numismatics.org/collection/1991.9.102","Silver 2 reichsmark of Luther, Martin, Munich, 1933. 1991.9.102","1991.9.102","","1933","1945","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","AKS.92||Jaeger.352||KM.79||Nau.334||Yeo.78","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Third Reich/c4b25d1e-0af7-3b8d-ae45-4ce8a4438886","","","","","","","Martin Luther 1483-1933","bust of Martin Luther facing left","Deutsches Reich 2 Reichsmark","eagle displayed","","","","25.0","8.017","","","2025-04-12T12:39:06Z"
"http://numismatics.org/collection/1991.9.103","Silver 2 reichsmark of Luther, Martin, Berlin, 1933. 1991.9.103","1991.9.103","","1933","1945","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","AKS.92||J.352||KM.79||Nau.334||Yeo.78","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Third Reich/c4b25d1e-0af7-3b8d-ae45-4ce8a4438886","","","","","","","Martin Luther 1483-1933","bust of Martin Luther facing left","Deutsches Reich 2 Reichsmark","eagle displayed","","","","25.0","7.89","","","2025-04-12T12:39:08Z"
"http://numismatics.org/collection/1991.9.104","Silver 2 reichsmark of Hindenburg, Paul von, Berlin, 1939. 1991.9.104","1991.9.104","","1933","1945","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","AKS.33||J.366||KM.93||N.342||Yeo.96","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Third Reich/c4b25d1e-0af7-3b8d-ae45-4ce8a4438886","","","","","","","Paul von Hindenburg 1847-1934","bust of Hindenburg facing right","Deutsches Reich 1939 2 Reichsmark","eagle, displayed, bearing swastika in wreath","","","12","24.0","8.0","","","2025-04-12T12:39:09Z"
"http://numismatics.org/collection/1991.9.105","Silver 5 reichsmark of Hindenburg, Paul von, Munich, 1936. 1991.9.105","1991.9.105","","1933","1945","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","AKS.28||J.367||KM.94","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Third Reich/c4b25d1e-0af7-3b8d-ae45-4ce8a4438886","","","","","","","Deutsches Reich 1936 5 Reichsmark","eagle, displayed, bearing swastika in wreath","Paul von Hindenburg 1847-1934","bust of Hindenburg facing right","","","12","28.0","13.91","","","2025-04-12T12:39:11Z"
"http://numismatics.org/collection/1991.9.107","Silver thaler of Francis I, Brussels, 1762. 1991.9.107","1991.9.107","","1745","1765","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Dav.1283||Delmonte.384||MaA260||deW.1139","L1|Netherlands/7247345f-ed9e-33c2-814e-e3d8b41ef019||7247345f-ed9e-33c2-814e-e3d8b41ef019|Austrian/0c4bd0bc-5b43-31ae-963b-9a9749e8f1be","","","","","","","FRANCIS.D.GRATIA.ROMAN.IMPERAT.S.A.","crowned arms of Habsburg on double-eagle","GERM.IERO.REX.LOTH.BAR.MAG.HET.DUX 1762","three crowns and golden fleece","","","6","32.0","29.26","","","2025-04-12T12:39:13Z"
"http://numismatics.org/collection/1991.9.11","Silver gulden of Francis Joseph, Vienna, 1876. 1991.9.11","1991.9.11","","1848","1916","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Jaeckel.342||KM.2222","L1|Austria/3877b8aa-053f-33e8-8292-cd8751a4c525||3877b8aa-053f-33e8-8292-cd8751a4c525|Austria-Hungary/13ae496e-a149-37d2-abb7-d8535b026ac4||13ae496e-a149-37d2-abb7-d8535b026ac4|Habsburg/62bb3f8b-514f-3f74-a4a0-73c4fcfa5b88","","","","","","","FRANC.IOS.I.D.G.AVSTRIAE IMPERATOR","bust of Francis Joseph facing right","HVNGAR.BOHEM.GAL.LOD.ILL.REX.A.A.1876 1 FL","crowned double eagle","","","12","30.0","12.271","","","2025-04-12T12:39:16Z"
"http://numismatics.org/collection/1991.9.122","Silver thaler of Mary Theresa, Brussels, 1766. 1991.9.122","1991.9.122","","1766","1766","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Dav.1282||Delmonte.388||deW1141","L1|Netherlands/7247345f-ed9e-33c2-814e-e3d8b41ef019||7247345f-ed9e-33c2-814e-e3d8b41ef019|Austrian/0c4bd0bc-5b43-31ae-963b-9a9749e8f1be","","","","","","","MAR.THERESIA D:G.R.IMP.GERM.HUNG.BOH.REG;","cross and four crowns","ARCH.AUST.RUX.BURG.BRAB.COM.FLAND.1766","crowned double eagle with Habsburg arms","","","6","40.0","29.337","","","2025-04-12T12:39:18Z"
"http://numismatics.org/collection/1991.9.17","Silver thaler of Frederick, Nuremberg?, 1752. 1991.9.17","1991.9.17","","1735","1763","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Dav.2032","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Brandenburg-Bayreuth/ec7a86a9-7588-3aef-9378-40d440b818b8||ec7a86a9-7588-3aef-9378-40d440b818b8|Hohenzollern/8881b7ef-1ddb-3160-b6f1-1dfa4c9c3597","","","","","","","FRIDERICVS.D.G.M:B:D.P.ET S.B.N","bust of Margrave Frederick facing right","EIN REICHSTHALER 1752 C. L. R.","crowned eagle","","","12","41.0","18.955","","","2025-04-12T12:39:35Z"
"http://numismatics.org/collection/1991.9.19","Silver thaler of Frederick William II, Breslau, 1790. 1991.9.19","1991.9.19","","1786","1797","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Dav.2597","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Prussia/a2502a35-d56d-32d9-a31d-a3e9a81f47c2||a2502a35-d56d-32d9-a31d-a3e9a81f47c2|Hohenzollern/62b633eb-0b8f-3b34-ac5d-9e6b78e89424","","","","","","","FRIED:WILHELM KOENIG VON PREUSSEN","bust of Frederick William facing right","EIN REICHSTHALER 1790","crowned Prussian eagle","","","12","37.0","22.125","","","2025-04-12T12:39:37Z"
"http://numismatics.org/collection/1991.9.7","Silver thaler of Francis I, Nagybánya, 1822. 1991.9.7","1991.9.7","","1792","1835","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Dav.7||Huszar.1946||Jaeckel.190","L1|Austria/3877b8aa-053f-33e8-8292-cd8751a4c525||3877b8aa-053f-33e8-8292-cd8751a4c525|Empire/569ce2de-f062-3541-87c3-d3ea41cf8fff||569ce2de-f062-3541-87c3-d3ea41cf8fff|Habsburg/94f26f7c-fc7e-3e2f-9d17-d060f857d0a4","","","","","","","FRANCISCVS.I.D.G.AVSTRIAE. IMPERATOR G","Bust of Emperor Francis facing right","HVN.BOH.LOMB.ET.VEN.GAL.LOD.IL.REX.A.A.1822","double-headed eagle","","","12","40.0","27.996","","","2025-04-12T12:39:55Z"
"http://numismatics.org/collection/1991.9.9","Silver thaler of Leopold IV, Count of Tyrol (Leopold I, Holy Roman Emperor), Hall, 1701. 1991.9.9","1991.9.9","","1657","1705","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Dav.1003","","","","","","","","LEOPOLDVS.D:G:ROM:IMP:SE:A:G:H:B:REX.","bust of Leopold I facing right","ARCHID:AVST:CUX:BV:COM:TYR:1701","arms of Austria with eagle in centre","","","12","41.0","28.111","https://numismatics.org/collectionimages/19501999/1991/1991.9.9.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1991/1991.9.9.rev.width175.jpg","2025-04-12T12:39:57Z"
"http://numismatics.org/collection/1992.1.39","Silver kreuzer of Anton III, Count of Montfort-Peggau, Montfort-Peggau county, 1714. 1992.1.39","1992.1.39","","1693","1733","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Ebner.184","","","","","","","","ANT.S.R.I.C.IN.MONTFOR","crowned arms of Montfort","CAROL.D.G.R.I.S.AV 1714","eagle with denomination (K) superimposed","","","12","15.0","0.631","https://numismatics.org/collectionimages/19501999/1992/1992.1.39.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1992/1992.1.39.rev.width175.jpg","2025-04-12T12:40:20Z"
"http://numismatics.org/collection/1991.52.19","Cupronickel mark, Hamburg, 1986. 1991.52.19","1991.52.19","","1986","1986","","","","","","","","","Modern","Coin","","","","","","Cupronickel","","","","","","","","","","KM.110","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Federal Republic/71c20b49-8a26-35f2-aa78-49fd9bd5851d","","","","","","","BUNDESREPUBLIK DEUTSCHLAND","eagle","1 DEUTSCHE MARK 1986","numeral 1 and oak leaves","","","","24.0","5.51","","","2025-04-12T12:34:28Z"
"http://numismatics.org/collection/1991.52.20","Cupronickel 2 mark of Erhard, Ludwig, Karlsruhe, 1988. 1991.52.20","1991.52.20","","1988","1988","","","","","","","","","Modern","Coin","","","","","","Cupronickel||Nickel","","","","","","","","","","KM.170","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Federal Republic/71c20b49-8a26-35f2-aa78-49fd9bd5851d","","","","","","","DEUTSCHE MARK 1948-1988","Head of Ludwig Erhard, full face","BUNDESREPUBLIK DEUTCHLAND 2 DEUTSCHE MARK 1989","Eagle","","","","27.0","7.02","","","2025-04-12T12:34:31Z"
"http://numismatics.org/collection/1991.52.21","Cupronickel 2 mark of Strauss, Franz Josef, Karlsruhe, 1989. 1991.52.21","1991.52.21","","1989","1989","","","","","","","","","Modern","Coin","","","","","","Cupronickel||Nickel","","","","","","","","","","KM.175","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Federal Republic/71c20b49-8a26-35f2-aa78-49fd9bd5851d","","","","","","","BUNDESREPUBLIK DEUTSCHLAND 1949-1989","profile of Franz Josef Strauss facing left","BUNDESREPUBLIK DEUTCHLAND 2 DEUTSCHE MARK 1990","eagle","","","","27.0","7.02","","","2025-04-12T12:34:32Z"
"http://numismatics.org/collection/1991.55.26","Cupronickel mark, Munich, 1961. 1991.55.26","1991.55.26","","1961","1961","","","","","","","","","Modern","Coin","","","","","","Cupronickel","","","","","","","","","","KM.110","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Federal Republic/71c20b49-8a26-35f2-aa78-49fd9bd5851d","","","","","","","BUNDESREPUBLIK DEUTSCHLAND","eagle","1 DEUTSCHE MARK 1986","numeral 1 and oak leaves","","","","23.0","5.47","","","2025-04-12T12:35:02Z"
"http://numismatics.org/collection/1991.55.27","Cupronickel mark, Hamburg, 1962. 1991.55.27","1991.55.27","","1962","1962","","","","","","","","","Modern","Coin","","","","","","Cupronickel","","","","","","","","","","KM.110","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Federal Republic/71c20b49-8a26-35f2-aa78-49fd9bd5851d","","","","","","","BUNDESREPUBLIK DEUTSCHLAND","eagle","1 DEUTSCHE MARK 1986","numeral 1 and oak leaves","","","","23.0","5.44","","","2025-04-12T12:35:03Z"
"http://numismatics.org/collection/1991.55.28","Cupronickel mark, Hamburg, 1964. 1991.55.28","1991.55.28","","1964","1964","","","","","","","","","Modern","Coin","","","","","","Cupronickel","","","","","","","","","","KM.110","L1|Germany/83d85548-2780-3f7c-80cf-ff141a5370c3||83d85548-2780-3f7c-80cf-ff141a5370c3|Federal Republic/71c20b49-8a26-35f2-aa78-49fd9bd5851d","","","","","","","BUNDESREPUBLIK DEUTSCHLAND","eagle","1 DEUTSCHE MARK 1986","numeral 1 and oak leaves","","","","23.0","5.52","","","2025-04-12T12:35:04Z"
"http://numismatics.org/collection/1991.78.251","Silver florin, 1584. 1991.78.251","1991.78.251","","1568","1648","","","","","","","","","Modern","Coin","","","","","","Silver","1F","","","","","","","","","Brause.17.4||Hill.337||Mailliet.Sup.22.8","L1|Netherlands/7247345f-ed9e-33c2-814e-e3d8b41ef019||7247345f-ed9e-33c2-814e-e3d8b41ef019|Dutch Revolt/ac7460e0-eb64-3db6-8af9-e8aac4c09b3d||ac7460e0-eb64-3db6-8af9-e8aac4c09b3d|Siege Pieces/8b64dd23-5125-3910-9455-255bc22815ce","","","","","Forgery","","84 x D x O x M x BRVXELLA+CON:FIRMA:Z.G","double-headed eagle","","","","","","21.0","9.642","","","2025-04-12T12:35:59Z"
"http://numismatics.org/collection/1991.78.274","Silver ecu, Geneva, 1722. 1991.78.274","1991.78.274","","1722","1722","","","","","","","","","Modern","Coin","","","","","","Silver","","","","","","","","","","Dav.1767||DeMole.505","L1|Switzerland/858d2061-9b61-3c58-a9bd-20916c798b97||858d2061-9b61-3c58-a9bd-20916c798b97|Geneva/d9e3636a-58ac-38e7-bf53-53b35d6e6b35","","","","","Forgery","","RESPUBLICA GENEVENSIS","shield","POST TENEBRAS LUX","double headed eagle crowned","","","6","41.0","23.182","","","2025-04-12T12:36:19Z"
